timestamp,symbol,side,units,entry_price,stop_loss,take_profit,status,mode
2026-09-21T12:18:24.606594+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:18:24.609034+00:00,EUR_USD,LONG,2000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:19:17.546969+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:19:17.548338+00:00,EUR_USD,LONG,2000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:19:27.184126+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:19:27.185610+00:00,EUR_USD,LONG,2000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:20:08.555284+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:20:08.567508+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:20:13.373440+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:20:13.383111+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:20:29.201823+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:20:29.211802+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:20:53.345851+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:20:53.355802+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:21:10.039923+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:21:10.050251+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
2026-09-21T12:28:53.560219+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SIGNAL,dry_run
2026-09-21T12:28:53.569437+00:00,EUR_USD,LONG,1000,1.1000000000,1.0950000000,1.1150000000,SUBMITTED,execute
